"frequency";"r S[6,6]";"i S[6,6]"
9.17317e+08;-0.652992;0.736153
9.18619e+08;-0.651446;0.737327
9.1992e+08;-0.649875;0.738493
9.21221e+08;-0.648289;0.739665
9.22523e+08;-0.646685;0.740829
9.23824e+08;-0.645061;0.741991
9.25125e+08;-0.643412;0.743156
9.26426e+08;-0.641734;0.744316
9.27728e+08;-0.640033;0.74547
9.29029e+08;-0.638301;0.746607
9.3033e+08;-0.636534;0.747729
9.31632e+08;-0.63473;0.748841
9.32933e+08;-0.6329;0.74994
9.34234e+08;-0.631031;0.751022
9.35536e+08;-0.629109;0.752077
9.36837e+08;-0.62716;0.753105
9.38138e+08;-0.625163;0.754102
9.39439e+08;-0.623119;0.755069
9.40741e+08;-0.621025;0.755979
9.42042e+08;-0.618862;0.756832
9.43343e+08;-0.616626;0.757606
9.44645e+08;-0.614345;0.758288
9.45946e+08;-0.612007;0.758845
9.47247e+08;-0.609629;0.759271
9.48549e+08;-0.607215;0.759541
9.4985e+08;-0.604787;0.759607
9.51151e+08;-0.602392;0.759481
9.52452e+08;-0.600067;0.759115
9.53754e+08;-0.597856;0.758478
9.55055e+08;-0.595825;0.757589
9.56356e+08;-0.594137;0.756442
9.57658e+08;-0.592807;0.755112
9.58959e+08;-0.591879;0.75367
9.6026e+08;-0.591495;0.752246
9.61562e+08;-0.591646;0.750995
9.62863e+08;-0.59225;0.750073
9.64164e+08;-0.593226;0.74965
9.65465e+08;-0.594414;0.749772
9.66767e+08;-0.595609;0.750422
9.68068e+08;-0.596688;0.751617
9.69369e+08;-0.597518;0.753216
9.70671e+08;-0.598077;0.75511
9.71972e+08;-0.598304;0.7572
9.73273e+08;-0.598259;0.759405
9.74575e+08;-0.597935;0.761675
9.75876e+08;-0.597372;0.763956
9.77177e+08;-0.596591;0.766218
9.78478e+08;-0.595642;0.76843
9.7978e+08;-0.594542;0.770584
9.81081e+08;-0.593318;0.772681
9.82382e+08;-0.591996;0.774705
9.83684e+08;-0.590592;0.776673
9.84985e+08;-0.58913;0.778576
9.86286e+08;-0.587599;0.780424
