"frequency";"r S[6,6]";"i S[6,6]"
1.65255e+09;-0.0165911;-0.104447
1.65385e+09;-0.0171872;-0.104755
1.65516e+09;-0.017562;-0.104911
1.65646e+09;-0.0180813;-0.105117
1.65776e+09;-0.0185448;-0.105373
1.65906e+09;-0.0185527;-0.106073
1.66036e+09;-0.019242;-0.106433
1.66166e+09;-0.0199234;-0.107346
1.66296e+09;-0.0204369;-0.107987
1.66426e+09;-0.021407;-0.109166
1.66557e+09;-0.0223701;-0.110117
1.66687e+09;-0.0238107;-0.111095
1.66817e+09;-0.0252175;-0.112384
1.66947e+09;-0.0266043;-0.113421
1.67077e+09;-0.0283959;-0.114803
1.67207e+09;-0.0297364;-0.115255
1.67337e+09;-0.0318953;-0.116286
1.67467e+09;-0.0339105;-0.116871
1.67598e+09;-0.0361145;-0.117739
1.67728e+09;-0.038459;-0.118696
1.67858e+09;-0.0404998;-0.119215
1.67988e+09;-0.0426951;-0.119971
1.68118e+09;-0.0450644;-0.120773
1.68248e+09;-0.0479161;-0.1213
1.68378e+09;-0.0507553;-0.121679
1.68509e+09;-0.0535216;-0.121634
1.68639e+09;-0.0565767;-0.121816
1.68769e+09;-0.0594041;-0.121355
1.68899e+09;-0.0620877;-0.121037
1.69029e+09;-0.0647705;-0.120216
1.69159e+09;-0.0669102;-0.119988
1.69289e+09;-0.069164;-0.119118
1.69419e+09;-0.0716883;-0.118835
1.6955e+09;-0.0736332;-0.118353
1.6968e+09;-0.0763911;-0.117992
1.6981e+09;-0.0783094;-0.117255
1.6994e+09;-0.0804446;-0.116995
1.7007e+09;-0.0829729;-0.116201
1.702e+09;-0.0852613;-0.115608
1.7033e+09;-0.087332;-0.115391
1.7046e+09;-0.0895056;-0.115286
1.70591e+09;-0.0917476;-0.114708
1.70721e+09;-0.094274;-0.114213
1.70851e+09;-0.0968468;-0.114304
1.70981e+09;-0.0998945;-0.113554
1.71111e+09;-0.102475;-0.112933
1.71241e+09;-0.105312;-0.11225
1.71371e+09;-0.107899;-0.111516
1.71502e+09;-0.110336;-0.110572
1.71632e+09;-0.113568;-0.109637
1.71762e+09;-0.116483;-0.108497
1.71892e+09;-0.119612;-0.10749
1.72022e+09;-0.122727;-0.10565
1.72152e+09;-0.125451;-0.103744
1.72282e+09;-0.127993;-0.102322
1.72412e+09;-0.130752;-0.10084
1.72543e+09;-0.133366;-0.0989147
1.72673e+09;-0.1361;-0.096847
1.72803e+09;-0.138912;-0.0944803
1.72933e+09;-0.140998;-0.0922097
1.73063e+09;-0.143105;-0.090165
1.73193e+09;-0.144979;-0.0880024
1.73323e+09;-0.147204;-0.0861316
1.73453e+09;-0.150006;-0.0842209
1.73584e+09;-0.151711;-0.081512
1.73714e+09;-0.153854;-0.0790502
1.73844e+09;-0.155578;-0.0762368
1.73974e+09;-0.157542;-0.0735363
1.74104e+09;-0.159045;-0.0706389
1.74234e+09;-0.160829;-0.0676551
1.74364e+09;-0.162371;-0.0652083
1.74494e+09;-0.163412;-0.0623251
1.74625e+09;-0.164441;-0.0597116
1.74755e+09;-0.165196;-0.0572502
1.74885e+09;-0.166321;-0.0545897
1.75015e+09;-0.167738;-0.0522407
1.75145e+09;-0.169074;-0.0498922
1.75275e+09;-0.170779;-0.0467708
1.75405e+09;-0.172275;-0.0435711
1.75536e+09;-0.172959;-0.0405501
1.75666e+09;-0.174093;-0.0368209
1.75796e+09;-0.174584;-0.0335776
1.75926e+09;-0.175013;-0.030021
1.76056e+09;-0.174822;-0.0270955
1.76186e+09;-0.174465;-0.0234211
1.76316e+09;-0.174062;-0.0207909
1.76446e+09;-0.173968;-0.0179616
1.76577e+09;-0.17392;-0.0156412
1.76707e+09;-0.174793;-0.0129696
1.76837e+09;-0.174707;-0.00970951
1.76967e+09;-0.175184;-0.00598996
1.77097e+09;-0.175094;-0.00239397
1.77227e+09;-0.174381;0.00161949
1.77357e+09;-0.172995;0.00531529
1.77487e+09;-0.171699;0.00878202
1.77618e+09;-0.170206;0.0122733
1.77748e+09;-0.169007;0.0157166
1.77878e+09;-0.166919;0.0187576
1.78008e+09;-0.164375;0.0219931
1.78138e+09;-0.162236;0.0243473
1.78268e+09;-0.159929;0.0271472
1.78398e+09;-0.157726;0.0292707
1.78529e+09;-0.154926;0.0313316
1.78659e+09;-0.152617;0.0333117
1.78789e+09;-0.150228;0.0348726
1.78919e+09;-0.147803;0.0369636
1.79049e+09;-0.145341;0.0385618
1.79179e+09;-0.142828;0.0396002
1.79309e+09;-0.140882;0.0408322
1.79439e+09;-0.139041;0.04287
1.7957e+09;-0.136894;0.0444667
1.797e+09;-0.134248;0.0468813
1.7983e+09;-0.131218;0.0483829
1.7996e+09;-0.128484;0.0497671
1.8009e+09;-0.12554;0.0513659
1.8022e+09;-0.121922;0.0527105
1.8035e+09;-0.11797;0.0536495
1.8048e+09;-0.114307;0.0541151
1.80611e+09;-0.110884;0.0544493
1.80741e+09;-0.107398;0.0543434
1.80871e+09;-0.104139;0.0542822
1.81001e+09;-0.100979;0.053673
1.81131e+09;-0.0981778;0.0532397
1.81261e+09;-0.0950395;0.0526649
1.81391e+09;-0.0923289;0.0523147
1.81522e+09;-0.0894815;0.0517808
1.81652e+09;-0.0868533;0.051201
1.81782e+09;-0.0841309;0.0509858
1.81912e+09;-0.0812515;0.050327
1.82042e+09;-0.0786985;0.0501649
1.82172e+09;-0.0758447;0.0490959
1.82302e+09;-0.072837;0.0485374
1.82432e+09;-0.0698719;0.0477054
1.82563e+09;-0.0666972;0.0465933
1.82693e+09;-0.0638655;0.0457464
1.82823e+09;-0.0608861;0.0440978
1.82953e+09;-0.0581545;0.0428523
1.83083e+09;-0.0555773;0.0416714
1.83213e+09;-0.0525769;0.0404288
1.83343e+09;-0.0497971;0.0392345
1.83473e+09;-0.0471385;0.0375214
1.83604e+09;-0.044119;0.0360364
1.83734e+09;-0.0409561;0.0344126
1.83864e+09;-0.0378808;0.0328163
1.83994e+09;-0.0353476;0.0308732
1.84124e+09;-0.0321347;0.0286766
1.84254e+09;-0.0289911;0.0265359
1.84384e+09;-0.026174;0.0242465
1.84515e+09;-0.0230698;0.0214987
1.84645e+09;-0.0203975;0.0188433
1.84775e+09;-0.0180271;0.015804
1.84905e+09;-0.0159038;0.0132029
1.85035e+09;-0.0133391;0.0106879
1.85165e+09;-0.0113258;0.0082464
1.85295e+09;-0.00862653;0.00555531
1.85425e+09;-0.00585102;0.00282973
1.85556e+09;-0.0031574;-0.000288628
1.85686e+09;-0.000321917;-0.00392154
1.85816e+09;0.00215803;-0.00721683
1.85946e+09;0.00472339;-0.010986
1.86076e+09;0.00639893;-0.0144851
1.86206e+09;0.00856584;-0.0179591
1.86336e+09;0.0104826;-0.0213035
1.86466e+09;0.0124437;-0.0248805
1.86597e+09;0.0145799;-0.0287305
1.86727e+09;0.0168953;-0.0325043
1.86857e+09;0.0192669;-0.0364681
1.86987e+09;0.0215441;-0.0408781
1.87117e+09;0.0236147;-0.0452809
1.87247e+09;0.0252811;-0.0494573
1.87377e+09;0.0270433;-0.0538769
1.87508e+09;0.0286932;-0.0583779
1.87638e+09;0.0301222;-0.0630453
1.87768e+09;0.0315136;-0.0678609
1.87898e+09;0.0332943;-0.0725339
1.88028e+09;0.0349121;-0.0777505
1.88158e+09;0.0365358;-0.0828536
1.88288e+09;0.0378031;-0.0884287
1.88418e+09;0.039079;-0.0941632
1.88549e+09;0.0397542;-0.0997387
1.88679e+09;0.0402094;-0.10592
1.88809e+09;0.040214;-0.111833
1.88939e+09;0.0404939;-0.117738
1.89069e+09;0.0402324;-0.123505
1.89199e+09;0.0400231;-0.128959
1.89329e+09;0.0398319;-0.134621
1.89459e+09;0.0396717;-0.140314
1.8959e+09;0.0393409;-0.146121
1.8972e+09;0.0388387;-0.152075
1.8985e+09;0.0380719;-0.158173
1.8998e+09;0.0371168;-0.164279
1.9011e+09;0.0362341;-0.170331
1.9024e+09;0.0351268;-0.176398
1.9037e+09;0.0338342;-0.182632
1.90501e+09;0.0321918;-0.189011
1.90631e+09;0.0299234;-0.195001
1.90761e+09;0.0277014;-0.200876
1.90891e+09;0.0250933;-0.206726
1.91021e+09;0.0228039;-0.212532
1.91151e+09;0.0200962;-0.217795
1.91281e+09;0.0176771;-0.223618
1.91411e+09;0.0150811;-0.229213
1.91542e+09;0.0123104;-0.234419
1.91672e+09;0.00924606;-0.23962
1.91802e+09;0.00612172;-0.244882
1.91932e+09;0.00294672;-0.24979
1.92062e+09;-0.000361068;-0.25472
1.92192e+09;-0.00331389;-0.259473
1.92322e+09;-0.00633985;-0.264429
1.92452e+09;-0.00935287;-0.269383
1.92583e+09;-0.0127944;-0.274216
1.92713e+09;-0.0162926;-0.279169
1.92843e+09;-0.0197208;-0.283953
1.92973e+09;-0.0235341;-0.288718
1.93103e+09;-0.0272679;-0.293392
1.93233e+09;-0.0314035;-0.29769
1.93363e+09;-0.0352371;-0.302073
1.93493e+09;-0.0390122;-0.306175
1.93624e+09;-0.0425557;-0.310065
1.93754e+09;-0.0459376;-0.314284
1.93884e+09;-0.0495944;-0.31841
1.94014e+09;-0.0534413;-0.322579
1.94144e+09;-0.0572423;-0.327023
1.94274e+09;-0.0610366;-0.331226
1.94404e+09;-0.0652883;-0.335553
1.94535e+09;-0.0691919;-0.339638
1.94665e+09;-0.0732787;-0.34385
1.94795e+09;-0.0773756;-0.34805
1.94925e+09;-0.081591;-0.352121
1.95055e+09;-0.0860312;-0.356031
1.95185e+09;-0.0905633;-0.359958
1.95315e+09;-0.0951412;-0.363913
1.95445e+09;-0.0997032;-0.367723
1.95576e+09;-0.103872;-0.371741
1.95706e+09;-0.108666;-0.375639
1.95836e+09;-0.113568;-0.379717
1.95966e+09;-0.118402;-0.383358
1.96096e+09;-0.123541;-0.387081
1.96226e+09;-0.12871;-0.390652
1.96356e+09;-0.1338;-0.394071
1.96486e+09;-0.13912;-0.3974
1.96617e+09;-0.144132;-0.40071
1.96747e+09;-0.149388;-0.404025
1.96877e+09;-0.154495;-0.407354
1.97007e+09;-0.159794;-0.410318
1.97137e+09;-0.165028;-0.413298
1.97267e+09;-0.170513;-0.416383
1.97397e+09;-0.175873;-0.419488
1.97528e+09;-0.181392;-0.422562
1.97658e+09;-0.186929;-0.425616
1.97788e+09;-0.192453;-0.428584
1.97918e+09;-0.19814;-0.431665
1.98048e+09;-0.204052;-0.434563
1.98178e+09;-0.210093;-0.437472
1.98308e+09;-0.21626;-0.440047
1.98438e+09;-0.222466;-0.442564
1.98569e+09;-0.228662;-0.445073
1.98699e+09;-0.23494;-0.447601
1.98829e+09;-0.241311;-0.449889
1.98959e+09;-0.247852;-0.452162
1.99089e+09;-0.25448;-0.454394
1.99219e+09;-0.261261;-0.45641
1.99349e+09;-0.268272;-0.458103
1.99479e+09;-0.275141;-0.459481
1.9961e+09;-0.281957;-0.460698
1.9974e+09;-0.288938;-0.461879
1.9987e+09;-0.295621;-0.462937
2e+09;-0.302461;-0.464056
